date,open,high,low,close,volume,amount
2020-12-01,37.95,38.85,36.9,37.8,2011148.0,76236259.0
2020-12-02,38.25,39.55,37.3,39.4,3347725.0,129511888.0
2020-12-03,38.65,41.0,38.55,39.85,3747690.0,150594207.0
2020-12-04,40.25,41.0,39.45,41.0,4022579.0,162688203.0
2020-12-07,41.0,42.75,40.5,41.35,3966331.0,162197919.0
2020-12-08,41.35,42.5,40.55,41.85,2130092.0,89271592.0
2020-12-09,41.85,42.35,41.2,41.6,2198679.0,91804833.0
2020-12-10,41.0,41.2,39.0,39.35,2091021.0,83445497.0
2020-12-11,40.0,40.3,39.05,39.8,2666118.0,105653433.0
2020-12-14,39.9,40.8,38.05,39.25,2874600.0,111790950.0
2020-12-15,39.55,39.55,35.6,36.15,6963646.0,252824971.0
2020-12-16,36.6,37.65,35.85,37.4,1826400.0,67732240.0
2020-12-17,37.55,38.05,36.4,37.9,2197973.0,81960879.0
2020-12-18,38.0,39.2,37.6,38.4,1944994.0,74678532.0
2020-12-21,38.4,40.4,37.05,39.45,2420880.0,95652246.0
2020-12-22,39.75,40.5,38.4,39.2,1766515.0,69895480.0
2020-12-23,39.8,42.8,38.9,42.05,5526000.0,229603300.0
2020-12-24,42.05,42.5,40.8,41.85,1016177.0,42544621.0
2020-12-28,41.85,43.5,40.85,42.2,4723600.0,202073410.0
2020-12-29,42.2,43.6,42.1,43.45,2129545.0,92053029.0
2020-12-30,43.5,45.5,43.25,44.9,3212800.0,142823440.0
2020-12-31,44.9,46.9,44.85,46.85,1853705.0,85497491.0
2021-01-04,47.0,59.0,46.7,58.3,6517561.0,354517330.0
2021-01-05,55.25,59.85,55.25,55.95,3517400.0,199090330.0
2021-01-06,57.2,59.5,54.3,54.9,4283540.0,241096795.0
2021-01-07,56.3,56.3,49.0,50.0,5582750.0,284139580.0
2021-01-08,51.0,52.5,48.0,51.35,4312845.0,216912290.0
2021-01-11,52.0,54.25,49.9,53.25,3431211.0,181731307.0
2021-01-12,53.25,55.15,49.6,51.4,4551977.0,236313036.0
2021-01-13,52.6,53.3,51.15,52.0,2057800.0,107273479.0
2021-01-14,53.45,56.75,51.7,55.5,3405522.0,187262126.0
2021-01-15,55.6,56.15,53.25,53.85,2238507.0,121637893.0
2021-01-18,54.0,55.15,51.75,54.3,2715411.0,146634793.0
2021-01-19,55.5,65.5,55.05,65.5,6711649.0,417290148.0
2021-01-20,65.05,66.3,60.85,65.5,4369361.0,278122088.0
2021-01-21,66.0,69.2,63.0,63.85,3443675.0,224929400.0
2021-01-22,63.85,65.1,61.35,61.55,2976600.0,186370035.0
2021-01-25,62.05,69.0,62.05,65.1,6004552.0,392322246.0
2021-01-26,65.2,66.6,59.2,63.25,4260542.0,266449980.0
2021-01-27,64.0,64.5,59.05,59.85,3561719.0,215342183.0
2021-01-28,58.3,61.85,56.25,58.4,4784480.0,285995077.0
2021-01-29,61.7,70.7,61.7,66.35,9192894.0,610385099.0
2021-02-01,68.65,86.1,66.5,84.15,10652350.0,831432366.0
2021-02-02,84.0,91.65,80.3,82.4,9583814.0,808459814.0
2021-02-03,85.5,87.8,81.0,84.15,4226676.0,354298576.0
2021-02-04,85.0,85.0,79.0,83.1,4176920.0,342110058.0
2021-02-05,83.4,98.85,83.4,92.05,6257200.0,583053321.0
2021-02-08,92.2,97.45,90.0,90.9,4936232.0,457218321.0
2021-02-09,92.0,100.9,90.5,100.9,3167520.0,307628597.0
2021-02-10,102.2,109.2,102.2,108.8,2242780.0,238880304.0
2021-02-11,110.0,110.4,104.5,109.6,915220.0,98423816.0
2021-02-16,112.3,114.5,106.9,110.8,1199804.0,132268292.0
2021-02-17,111.1,111.1,103.8,110.4,1330887.0,143058872.0
2021-02-18,108.0,108.1,87.0,92.4,12060557.0,1134912708.0
2021-02-19,90.0,94.9,85.0,94.6,9367610.0,835311426.0
2021-02-22,95.3,95.4,82.0,82.0,8098194.0,701553352.0
2021-02-23,81.0,85.5,78.0,82.0,4171431.0,347245911.0
2021-02-24,84.0,85.05,70.05,74.4,9722090.0,732001201.0
2021-02-25,76.9,79.45,72.5,76.4,4308553.0,330340008.0
2021-02-26,69.8,72.0,67.1,69.0,8746109.0,609775470.0
2021-03-01,68.05,72.65,63.65,71.8,8926951.0,615436611.0
2021-03-02,74.8,76.5,66.0,66.8,5825900.0,403705738.0
2021-03-03,66.8,71.25,64.3,69.9,3098800.0,211980689.0
2021-03-04,67.45,67.45,60.4,61.6,5646417.0,354961140.0
2021-03-05,60.1,61.85,57.0,60.5,5027572.0,300526222.0
2021-03-08,63.5,63.5,52.55,53.4,9645298.0,533932069.0
2021-03-09,53.4,56.75,49.2,54.0,6739617.0,359127207.0
2021-03-10,57.8,59.9,54.1,54.7,4899238.0,278534313.0
2021-03-11,54.6,58.9,52.75,58.9,5066050.0,290113880.0
2021-03-12,60.75,61.8,54.95,55.1,7179204.0,408624987.0
2021-03-15,55.3,58.8,53.05,54.6,3302150.0,183163375.0
2021-03-16,55.3,58.8,55.1,58.6,3454400.0,197750855.0
2021-03-17,57.6,59.5,56.2,57.55,2376269.0,137460342.0
2021-03-18,59.0,62.5,57.75,60.5,5126867.0,310595360.0
2021-03-19,58.5,59.3,55.8,57.9,3752000.0,215131070.0
2021-03-22,57.9,59.4,53.15,53.3,3994600.0,220428947.0
2021-03-23,54.0,55.35,50.95,51.35,3707600.0,194205517.0
2021-03-24,51.35,53.5,50.05,52.0,3914200.0,201017146.0
2021-03-25,51.55,53.95,47.6,53.55,5737800.0,296087495.0
2021-03-26,53.3,55.8,50.95,51.45,5107000.0,273156400.0
2021-03-29,52.55,52.95,47.3,47.6,4602600.0,226190253.0
2021-03-30,47.6,49.6,46.6,49.0,2437026.0,118948419.0
2021-03-31,49.5,51.65,46.9,47.0,3483100.0,170315900.0
2021-04-01,47.0,59.4,45.1,57.5,40404252.0,2129220364.0
2021-04-07,58.65,58.85,52.65,53.75,12954591.0,707597568.0
2021-04-08,53.0,56.4,52.25,52.6,5990400.0,322138100.0
2021-04-09,55.1,59.75,54.0,57.3,13500920.0,773441141.0
2021-04-12,58.0,58.55,55.55,56.25,5594960.0,316916445.0
2021-04-13,56.25,56.5,52.85,54.5,5071825.0,277499396.0
2021-04-14,55.55,56.5,54.0,55.45,5927000.0,328570378.0
2021-04-15,55.45,59.15,54.25,58.1,6956000.0,402209370.0
2021-04-16,58.55,64.9,57.1,62.15,10071530.0,628148822.0
2021-04-19,62.15,65.5,61.2,63.15,5857522.0,375262826.0
2021-04-20,63.15,67.15,62.4,65.2,7401900.0,486314785.0
2021-04-21,64.2,65.4,61.1,63.0,5427559.0,341024688.0
2021-04-22,64.05,65.8,63.1,63.9,2858778.0,183010172.0
2021-04-23,63.9,65.5,61.15,62.2,5125471.0,322429669.0
2021-04-26,62.35,65.2,61.8,62.15,5459496.0,347679939.0
2021-04-27,63.0,67.9,61.75,67.25,7271307.0,477228413.0
2021-04-28,67.5,72.4,64.4,70.2,9876600.0,675502250.0
2021-04-29,70.2,71.65,67.8,68.35,4141518.0,288664549.0
2021-04-30,68.3,69.9,65.5,67.35,2644000.0,178726240.0
2021-05-03,67.4,69.4,66.2,67.6,2009045.0,136580971.0
2021-05-04,68.3,70.45,67.05,67.25,2623700.0,179967573.0
2021-05-05,65.8,67.45,62.2,62.2,5318250.0,340703300.0
2021-05-06,63.85,64.55,56.9,59.2,12082350.0,727778551.0
2021-05-07,59.2,59.7,55.5,58.0,5839841.0,335445452.0
2021-05-10,58.0,59.5,55.1,56.6,3959443.0,225887043.0
2021-05-11,54.2,56.85,51.5,54.95,6483315.0,351675699.0
2021-05-12,56.0,59.1,54.65,58.75,6257600.0,360630055.0
2021-05-13,57.0,58.6,55.3,55.4,2963003.0,167869008.0
2021-05-14,55.55,56.45,52.8,54.5,3448200.0,188086042.0
2021-05-17,56.05,57.3,54.05,55.75,3287400.0,182909180.0
2021-05-18,56.5,58.6,56.2,57.4,2579400.0,148847820.0
2021-05-20,56.8,60.4,56.8,59.2,3037350.0,179236020.0
2021-05-21,60.5,60.75,58.6,59.35,2611011.0,155607760.0
2021-05-24,59.8,59.8,56.45,57.85,1799200.0,103389260.0
2021-05-25,58.6,62.9,58.0,62.25,4381600.0,269410762.0
2021-05-26,62.35,64.25,61.3,62.6,2729145.0,171744038.0
2021-05-27,63.7,64.3,61.4,64.3,3754007.0,238418315.0
2021-05-28,65.2,65.2,60.35,60.5,2571875.0,160774393.0
2021-05-31,60.9,63.2,60.6,62.9,2269600.0,140918326.0
2021-06-01,63.2,64.4,61.4,63.85,2344705.0,147757283.0
2021-06-02,64.05,64.3,61.0,61.35,2019800.0,125288520.0
2021-06-03,61.6,62.9,59.6,60.0,1560225.0,95614859.0
2021-06-04,59.35,61.95,59.0,59.45,2092400.0,126274077.0
2021-06-07,60.75,60.8,57.2,57.35,2698600.0,157200955.0
2021-06-08,58.0,58.4,54.8,57.3,3113730.0,175676935.0
2021-06-09,57.5,57.75,54.5,54.55,4961778.0,274567124.0
2021-06-10,55.0,55.65,53.1,53.55,3890400.0,211405088.0
2021-06-11,54.4,56.0,54.15,55.35,5399208.0,298222488.0
2021-06-15,56.0,57.6,54.7,57.15,2559300.0,144197104.0
2021-06-16,57.15,57.15,52.85,53.9,3881200.0,210541906.0
2021-06-17,53.8,55.0,52.2,53.05,3292200.0,175980359.0
2021-06-18,53.35,56.15,53.05,55.4,2332536.0,128624707.0
2021-06-21,55.0,56.0,54.2,55.5,1504020.0,83186639.0
2021-06-22,55.55,55.6,53.35,53.8,2434100.0,131162865.0
2021-06-23,53.8,57.4,53.75,57.3,2872766.0,161276119.0
2021-06-24,57.2,60.65,57.2,60.4,4304258.0,254332488.0
2021-06-25,61.0,61.2,58.35,61.05,3295900.0,198982640.0
2021-06-28,61.9,63.5,59.55,61.0,1349652.0,82051792.0
2021-06-29,61.05,63.05,58.2,58.4,4401200.0,265781240.0
2021-06-30,60.0,69.15,59.15,68.5,12651461.0,829524319.0
2021-07-02,68.5,68.5,60.2,62.0,8830200.0,554103380.0
2021-07-05,63.4,64.65,60.05,61.7,3970140.0,246565129.0
2021-07-06,62.25,62.25,58.65,60.6,2801180.0,168118893.0
2021-07-07,60.0,63.25,58.85,62.6,2784317.0,171317702.0
2021-07-08,62.6,62.8,56.1,57.9,5826664.0,340032372.0
2021-07-09,58.95,60.75,55.75,60.2,3704800.0,217803983.0
2021-07-12,59.25,63.0,59.25,62.6,2415932.0,149926738.0
2021-07-13,63.0,67.3,62.6,64.15,4682000.0,305483480.0
2021-07-14,63.8,68.95,63.8,66.3,4564653.0,305564664.0
2021-07-15,66.3,67.25,61.2,61.65,4493579.0,281129039.0
2021-07-16,61.7,65.0,61.15,64.3,3141500.0,199812550.0
2021-07-19,64.3,71.5,63.85,65.75,6906604.0,470229016.0
2021-07-20,65.75,67.45,62.1,64.15,4459400.0,284703612.0
2021-07-21,64.4,64.7,60.1,60.65,4896300.0,300026898.0
2021-07-22,62.0,62.3,60.25,61.4,1933400.0,118202328.0
2021-07-23,61.4,62.75,58.5,59.15,4164086.0,248337062.0
2021-07-26,58.1,58.65,53.85,54.0,4969014.0,275373954.0
2021-07-27,53.9,54.4,35.5,41.7,29696202.0,1261314826.0
2021-07-28,43.0,45.3,39.5,41.4,15883800.0,660315565.0
2021-07-29,45.9,52.75,44.0,52.55,14412033.0,700757178.0
2021-07-30,50.7,50.95,47.05,49.25,7543900.0,369320200.0
2021-08-02,49.25,49.95,46.65,48.05,3943061.0,189867428.0
2021-08-03,47.6,47.6,37.6,44.15,17373298.0,734551772.0
2021-08-04,44.15,46.45,43.5,44.9,3519494.0,159579375.0
2021-08-05,44.5,45.6,41.55,43.95,4417200.0,195672595.0
2021-08-06,43.95,47.15,43.0,47.15,3519222.0,159159729.0
2021-08-09,46.6,46.95,45.0,46.15,2288400.0,105222030.0
2021-08-10,47.05,49.0,46.4,48.6,4695166.0,224418584.0
2021-08-11,48.25,48.25,46.75,47.05,2372070.0,111973633.0
2021-08-12,45.3,49.4,44.0,47.95,4328200.0,206744080.0
2021-08-13,47.95,47.95,45.7,46.25,1751020.0,81055810.0
2021-08-16,46.25,46.25,43.4,43.75,1983200.0,87871985.0
2021-08-17,43.55,43.75,40.65,41.25,4050800.0,168456184.0
2021-08-18,41.25,41.25,38.0,39.65,5462204.0,215036610.0
2021-08-19,40.2,41.2,38.45,39.1,3027194.0,120115406.0
2021-08-20,39.1,40.4,37.1,39.2,3429600.0,133544857.0
2021-08-23,40.0,41.0,39.15,39.8,3697820.0,148766473.0
2021-08-24,40.4,41.8,39.55,41.0,4691400.0,191430045.0
2021-08-25,42.55,44.4,41.5,42.15,5424600.0,231924405.0
2021-08-26,42.9,43.4,40.45,40.75,2990314.0,123335552.0
2021-08-27,40.4,41.4,38.55,39.0,3402566.0,134238435.0
2021-08-30,38.55,40.35,37.75,39.65,2585224.0,101265485.0
2021-08-31,38.1,41.25,37.6,41.25,5515392.0,216637221.0
2021-09-01,41.15,46.4,41.0,45.2,7520058.0,337294902.0
2021-09-02,45.45,49.6,45.45,47.0,5217000.0,249947730.0
2021-09-03,47.0,48.6,45.6,47.8,2695225.0,128271443.0
2021-09-06,48.5,50.45,48.5,49.3,3054000.0,150841332.0
2021-09-07,49.9,50.75,48.35,49.0,1990100.0,98055660.0
2021-09-08,49.15,51.45,48.6,49.6,2984209.0,149381140.0
2021-09-09,48.0,49.6,46.4,46.95,7120400.0,342018030.0
2021-09-10,46.55,51.2,46.55,50.75,4569900.0,227364417.0
2021-09-13,50.5,50.5,47.55,49.0,2422214.0,117178597.0
2021-09-14,49.1,49.95,46.9,47.15,2015200.0,96658020.0
2021-09-15,47.15,48.35,46.25,46.5,1208200.0,56653180.0
2021-09-16,46.15,47.35,42.65,43.5,2106000.0,92919030.0
2021-09-17,42.6,45.9,42.5,43.75,3299293.0,145182979.0
2021-09-20,43.75,44.25,41.5,43.9,1384400.0,59080574.0
2021-09-21,43.5,44.0,41.6,42.75,901200.0,38591460.0
2021-09-23,44.35,47.9,44.35,45.15,2983147.0,136425620.0
2021-09-24,45.3,46.9,44.0,45.85,1370764.0,62733577.0
2021-09-27,45.85,47.6,45.6,46.55,1236925.0,58005529.0
2021-09-28,46.55,47.7,46.2,47.05,910600.0,42893533.0
2021-09-29,46.3,46.3,43.75,44.8,1326000.0,59195168.0
2021-09-30,44.8,45.3,42.6,43.35,1075000.0,46833535.0
2021-10-04,43.45,43.55,41.85,42.2,1548000.0,65601550.0
2021-10-05,41.7,41.75,38.8,40.3,2083000.0,83132915.0
2021-10-06,41.25,41.85,39.65,40.2,1312600.0,52870412.0
2021-10-07,41.0,42.5,40.85,42.2,1417600.0,59339235.0
2021-10-08,43.3,45.45,42.45,42.85,2715138.0,118711651.0
2021-10-11,43.15,47.15,43.15,46.9,2834759.0,129750748.0
2021-10-12,45.55,48.0,45.35,46.25,2117505.0,98226498.0
2021-10-15,47.4,48.0,46.8,47.65,1545500.0,73543087.0
2021-10-18,47.35,48.35,47.0,48.25,1747200.0,83079242.0
2021-10-19,48.45,49.5,48.0,49.2,1883860.0,92075912.0
2021-10-20,49.2,51.25,49.2,50.55,2821233.0,142542532.0
2021-10-21,50.55,50.55,48.5,48.85,1288800.0,63236660.0
